wdpa_id,name,designation,desig_type,no_take,iucn_cat,iso3
555528265,Fondali Punta Manara,Special Areas of Conservation (Habitats Directive),Regional,Not Reported,Not Reported,ITA
555528662,Laguna superiore di Venezia,Special Areas of Conservation (Habitats Directive),Regional,Not Reported,Not Reported,ITA
555527034,"ESOTERIKO ARCHIPELAGOS IONIOU (MEGANISI, ARKOUDI, ATOKOS, VROMONAS)",Special Areas of Conservation (Habitats Directive),Regional,Not Reported,Not Reported,GRC
555528841,Isola di Capraia - area terrestre e marina,Special Areas of Conservation (Habitats Directive),Regional,Not Reported,Not Reported,ITA
555528881,Isola di Giannutri - area terrestre e marina,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,ITA
555528845,Isola di Montecristo e Formica di Montecristo - area terrestre e marina,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,ITA
555528839,Isola di Gorgona - area terrestre e marina,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,ITA
555528284,Fondali Punta Mesco - Rio Maggiore,Special Areas of Conservation (Habitats Directive),Regional,Not Reported,Not Reported,ITA
555528984,Colle S. Bartolo,Special Areas of Conservation (Habitats Directive),Regional,Not Reported,Not Reported,ITA
555529055,Fondali tra Punta del Pecoraro e Capo Linaro,Special Areas of Conservation (Habitats Directive),Regional,Not Reported,Not Reported,ITA
555529051,Fondali antistanti Punta Morelle,Special Areas of Conservation (Habitats Directive),Regional,Not Reported,Not Reported,ITA
555529057,Secche di Macchiatonda,Special Areas of Conservation (Habitats Directive),Regional,Not Reported,Not Reported,ITA
555529060,Fondali tra Torre Astura e Capo Portiere,Special Areas of Conservation (Habitats Directive),Regional,Not Reported,Not Reported,ITA
555529059,Secche di Tor Paterno,Special Areas of Conservation (Habitats Directive),Regional,Not Reported,Not Reported,ITA
555529062,Fondali tra Capo Circeo e Terracina,Special Areas of Conservation (Habitats Directive),Regional,Not Reported,Not Reported,ITA
555529054,Fondali tra Punta S. Agostino e Punta della Mattonara,Special Areas of Conservation (Habitats Directive),Regional,Not Reported,Not Reported,ITA
555529501,Le Cesine,Special Areas of Conservation (Habitats Directive),Regional,Not Reported,Not Reported,ITA
555529456,Posidonieto San Vito - Barletta,Special Areas of Conservation (Habitats Directive),Regional,Not Reported,Not Reported,ITA
555529061,Fondali tra Capo Portiere e Lago di Caprolace (foce),Special Areas of Conservation (Habitats Directive),Regional,Not Reported,Not Reported,ITA
555529438,Isole Tremiti,Special Areas of Conservation (Habitats Directive),Regional,Not Reported,Not Reported,ITA
555529483,Alimini,Special Areas of Conservation (Habitats Directive),Regional,Not Reported,Not Reported,ITA
555529583,Fondali Crosia-Pietrapaola-Cariati,Special Areas of Conservation (Habitats Directive),Regional,Not Reported,Not Reported,ITA
555529708,Fondali di Scilla,Special Areas of Conservation (Habitats Directive),Regional,Not Reported,Not Reported,ITA
555529624,Fondali di Gabella Grande,Special Areas of Conservation (Habitats Directive),Regional,Not Reported,Not Reported,ITA
555529742,Fondali del Golfo di Custonaci,Special Areas of Conservation (Habitats Directive),Regional,Not Reported,Not Reported,ITA
555529921,Fondali dell'isola di Capo Passero,Special Areas of Conservation (Habitats Directive),Regional,Not Reported,Not Reported,ITA
555529839,Fondali di Capo San Marco - Sciacca,Special Areas of Conservation (Habitats Directive),Regional,Not Reported,Not Reported,ITA
555529988,Capo di Pula,Special Areas of Conservation (Habitats Directive),Regional,Not Reported,Not Reported,ITA
555529707,Fondali da Punta Pezzo a Capo dell'Armi,Special Areas of Conservation (Habitats Directive),Regional,Not Reported,Not Reported,ITA
555529957,Isola di Mal di Ventre e Catalano,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,ITA
555529741,Fondali dell'Arcipelago delle Isole Egadi,Special Areas of Conservation (Habitats Directive),Regional,Not Reported,Not Reported,ITA
555529932,Isola dell'Asinara,Special Areas of Conservation (Habitats Directive),Regional,Not Reported,Not Reported,ITA
555535203,Med Izolo in Strunjanom - klif,Special Areas of Conservation (Habitats Directive),Regional,Not Reported,Not Reported,SVN
555529978,Bruncu de Su Monte Moru - Geremeas (Mari Pintau),Special Areas of Conservation (Habitats Directive),Regional,Not Reported,Not Reported,ITA
555530255,Żona fil-Baħar bejn Rdum Majjiesa u Għar Lapsi,Site of Community Importance (Habitats Directive),Regional,Not Reported,Not Reported,MLT
555537104,Emine,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,BGR
555537132,Bakarlaka,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,BGR
555529827,Fondali dell'Arcipelago delle Isole Eolie,Special Areas of Conservation (Habitats Directive),Regional,Not Reported,Not Reported,ITA
