iso3,country,flag_score_mean,flag_multiplier,n_indicators,source_year
FIN,Finland,1.4444444444444444,1.133,9,2025
SDN,Sudan,1.4285714285714286,1.129,7,2025
BRA,Brazil,1.4,1.12,10,2025
URY,Uruguay,1.4,1.12,10,2025
EST,Estonia,1.4,1.12,10,2025
SWE,Sweden,1.3,1.09,10,2025
LVA,Latvia,1.3,1.09,10,2025
ARG,Argentina,1.2222222222222223,1.067,9,2025
BEL,Belgium,1.2222222222222223,1.067,9,2025
BGR,Bulgaria,1.2,1.06,10,2025
ROU,Romania,1.0,1.0,10,2025
